Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.09     0.00   221184     0.00     0.03  std::_Rb_tree<unsigned int, std::pair<unsigned int const, int>, std::_Select1st<std::pair<unsigned int const, int> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, int> > >::lower_bound(unsigned int const&)
  0.00      0.09     0.00   221184     0.00     0.03  std::_Rb_tree<unsigned int, std::pair<unsigned int const, int>, std::_Select1st<std::pair<unsigned int const, int> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<unsigned int const, int> >*, std::_Rb_tree_node<std::pair<unsigned int const, int> >*, unsigned int const&)
  0.00      0.09     0.00   221184     0.00     0.00  std::_Rb_tree<unsigned int, std::pair<unsigned int const, int>, std::_Select1st<std::pair<unsigned int const, int> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, int> > >::end()
  0.00      0.09     0.00   221175     0.00     0.00  std::map<unsigned int, int, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, int> > >::key_comp() const
  0.00      0.09     0.00   221175     0.00     0.00  std::_Rb_tree<unsigned int, std::pair<unsigned int const, int>, std::_Select1st<std::pair<unsigned int const, int> >, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, int> > >::key_comp() const
  0.00      0.09     0.00   208896     0.00     0.00  inode_manager::get_nth_blockid(inode*, unsigned int)
  0.00      0.09     0.00   184326     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::end()
  0.00      0.09     0.00   172039     0.00     0.05  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_erase(std::_Rb_tree_node<std::pair<std::string const, unsigned long long> >*)
  0.00      0.09     0.00   172035     0.00     0.00  std::pair<std::string const, unsigned long long>* std::__addressof<std::pair<std::string const, unsigned long long> >(std::pair<std::string const, unsigned long long>&)
  0.00      0.09     0.00   147458     0.00     0.00  block_manager::write_block(unsigned int, char const*)
  0.00      0.09     0.00   147458     0.00     0.00  disk::write_block(unsigned int, char const*)
  0.00      0.09     0.00   142325     0.00     0.00  block_manager::freeNode::freeNode(unsigned int)
  0.00      0.09     0.00   135171     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_leftmost()
  0.00      0.09     0.00   135171     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_rightmost()
  0.00      0.09     0.00   122886     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_get_Node_allocator() const
  0.00      0.09     0.00   122883     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, unsigned long long> >::new_allocator()
  0.00      0.09     0.00   122883     0.00     0.00  __gnu_cxx::new_allocator<std::pair<std::string const, unsigned long long> >::~new_allocator()
  0.00      0.09     0.00   122883     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::get_allocator() const
  0.00      0.09     0.00   122883     0.00     0.00  std::allocator<std::pair<std::string const, unsigned long long> >::allocator<std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > >(std::allocator<std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > > const&)
  0.00      0.09     0.00   122883     0.00     0.00  std::allocator<std::pair<std::string const, unsigned long long> >::~allocator()
  0.00      0.09     0.00   122881     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.09     0.00   122880     0.00     0.00  std::_Select1st<std::pair<std::string const, unsigned long long> >::operator()(std::pair<std::string const, unsigned long long> const&) const
  0.00      0.09     0.00   122880     0.00     0.00  std::less<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.09     0.00   122880     0.00     0.00  bool std::operator< <char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.09     0.00   110592     0.00     0.14  block_manager::free_block(unsigned int)
  0.00      0.09     0.00   110592     0.00     0.14  block_manager::alloc_block()
  0.00      0.09     0.00   110592     0.00     0.14  inode_manager::alloc_nth_block(inode*, unsigned int)
  0.00      0.09     0.00    86023     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_Rb_tree_impl<std::less<std::string>, false>::_M_initialize()
  0.00      0.09     0.00    86021     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > >::~new_allocator()
  0.00      0.09     0.00    86021     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > >::~allocator()
  0.00      0.09     0.00    86021     0.00     0.05  std::map<std::string, unsigned long long, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::~map()
  0.00      0.09     0.00    86021     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_Rb_tree_impl<std::less<std::string>, false>::~_Rb_tree_impl()
  0.00      0.09     0.00    86021     0.00     0.05  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::~_Rb_tree()
  0.00      0.09     0.00    86020     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > >::new_allocator()
  0.00      0.09     0.00    86020     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<std::string const, unsigned long long> > >::allocator()
  0.00      0.09     0.00    86020     0.00     0.00  std::map<std::string, unsigned long long, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::map()
  0.00      0.09     0.00    86020     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_Rb_tree_impl<std::less<std::string>, false>::_Rb_tree_impl()
  0.00      0.09     0.00    86020     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_Rb_tree()
  0.00      0.09     0.00    86019     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> >::operator==(std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> > const&) const
  0.00      0.09     0.00    86018     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<std::string const, unsigned long long> >*, std::_Rb_tree_node<std::pair<std::string const, unsigned long long> >*, std::string const&)
  0.00      0.09     0.00    73730     0.00     0.41  yfs_client::lookup(unsigned long long, char const*, bool&, unsigned long long&)
  0.00      0.09     0.00    73730     0.00     0.32  yfs_client::readdir(unsigned long long, std::map<std::string, unsigned long long, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >&)
  0.00      0.09     0.00    73730     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> >::operator!=(std::_Rb_tree_iterator<std::pair<std::string const, unsigned long long> > const&) const
  0.00      0.09     0.00    73730     0.00     0.00  std::map<std::string, unsigned long long, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::end()
  0.00      0.09     0.00    73730     0.00     0.00  std::map<std::string, unsigned long long, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::find(std::string const&)
  0.00      0.09     0.00    73730     0.00     0.28  std::map<std::string, unsigned long long, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::operator=(std::map<std::string, unsigned long long, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > > const&)
  0.00      0.09     0.00    73730     0.00     0.00  std::pair<std::string const, unsigned long long>::~pair()
  0.00      0.09     0.00    73730     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, unsigned long long>, std::_Select1st<std::pair<std::string const, unsigned long long> >, std::less<std::string>, std::allocator<std::pair<std::string const, unsigned long long> > >::find(std::string const&)
